level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#57,gnn[speed+dl],True,123,0.210000317766234,68
sokoban_core/levels/letslogic/solved/0166_funny_template_levels.txt#1,gnn[speed+dl],True,252,0.238397045252896,15
sokoban_core/levels/letslogic/solved/0443_p_emysl_z_ka.txt#65,gnn[speed+dl],True,237,0.360011555689918,10
sokoban_core/levels/letslogic/solved/0632_recreation.txt#258,gnn[speed+dl],True,332,0.403594351466655,14
sokoban_core/levels/letslogic/solved/0566_li_jin_you_collection.txt#223,gnn[speed+dl],True,979,1.15710420512238,30
sokoban_core/levels/letslogic/solved/0627_suitcase_04.txt#481,gnn[speed+dl],True,51,0.137943323614326,11
sokoban_core/levels/letslogic/solved/0359_magic_sokoban_2.txt#65,gnn[speed+dl],True,1787,2.68233785056485,32
sokoban_core/levels/letslogic/solved/0301_maps_after_all.txt#71,gnn[speed+dl],True,195,0.491529526604698,23
sokoban_core/levels/letslogic/solved/0292_boring.txt#10,gnn[speed+dl],True,8493,6.43949103813576,26
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#92,gnn[speed+dl],True,58,0.0957865441415781,18
sokoban_core/levels/letslogic/solved/0566_li_jin_you_collection.txt#321,gnn[speed+dl],True,2569,1.6729603792264,30
sokoban_core/levels/letslogic/solved/0050_picolevels.txt#41,gnn[speed+dl],True,279,0.175501328639222,15
sokoban_core/levels/letslogic/solved/0566_li_jin_you_collection.txt#109,gnn[speed+dl],True,427,0.251730711661773,19
sokoban_core/levels/letslogic/solved/0222_revenge_23.txt#50,gnn[speed+dl],True,86,0.0669523919689116,12
sokoban_core/levels/letslogic/solved/0966_zeng_xiang_hua_collection.txt#295,gnn[speed+dl],True,13282,12.765077791947,18
sokoban_core/levels/letslogic/solved/0029_mini_cosmos.txt#11,gnn[speed+dl],True,804,0.4850265058897,28
sokoban_core/levels/letslogic/solved/0204_svens_collection.txt#774,gnn[speed+dl],True,89,0.083390216345567,19
sokoban_core/levels/letslogic/solved/0110_revenge_03.txt#2,gnn[speed+dl],True,7314,4.39413125188197,40
sokoban_core/levels/letslogic/solved/0966_zeng_xiang_hua_collection.txt#135,gnn[speed+dl],True,9991,7.8521482463402,13
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#94,gnn[speed+dl],True,47,0.230539762441078,21
sokoban_core/levels/letslogic/solved/0566_li_jin_you_collection.txt#5,gnn[speed+dl],True,117,0.105212760290893,15
sokoban_core/levels/letslogic/solved/0201_more_bugs_collections.txt#210,gnn[speed+dl],True,26,0.0293508218896634,14
sokoban_core/levels/letslogic/solved/0600_mass_remodel.txt#1360,gnn[speed+dl],True,93,0.0960727724624783,12
sokoban_core/levels/letslogic/solved/0173_revenge_04.txt#67,gnn[speed+dl],True,435,0.263955736144518,18
sokoban_core/levels/letslogic/solved/0577_rdlom.txt#120,gnn[speed+dl],True,4384,5.43300147650887,16
sokoban_core/levels/letslogic/solved/0129_alberto_garc_a_best_4_u.txt#22,gnn[speed+dl],True,10685,20.387823304052,21
sokoban_core/levels/letslogic/solved/0050_picolevels.txt#29,gnn[speed+dl],True,330,0.208875511430795,20
sokoban_core/levels/letslogic/solved/0295_close_to_solution.txt#12,gnn[speed+dl],True,380,0.208819527379049,25
sokoban_core/levels/letslogic/solved/0168_serg_belyaev_02.txt#75,gnn[speed+dl],True,1155,0.678866159760811,26
sokoban_core/levels/letslogic/solved/0196_bugs_509_collection.txt#78,gnn[speed+dl],True,212,0.169528185146387,22
sokoban_core/levels/letslogic/solved/0355_miniatures_-_part_one_easy.txt#18,gnn[speed+dl],True,16522,23.0752026761782,34
sokoban_core/levels/letslogic/solved/0029_mini_cosmos.txt#22,gnn[speed+dl],True,818,0.887537644805841,29
sokoban_core/levels/letslogic/solved/0110_revenge_03.txt#37,gnn[speed+dl],True,26485,25.7537767820247,26
sokoban_core/levels/letslogic/solved/0403_chrysalis_collection_04.txt#5,gnn[speed+dl],True,18088,12.3911129998671,26
sokoban_core/levels/letslogic/solved/0306_696.txt#396,gnn[speed+dl],True,26198,12.0308964321567,61
sokoban_core/levels/letslogic/solved/0415_spiros_06.txt#178,gnn[speed+dl],True,7728,7.89036741513115,30
sokoban_core/levels/letslogic/solved/0963_first_steps_-_advanced.txt#0,gnn[speed+dl],True,1048,1.41422259325697,7
sokoban_core/levels/letslogic/solved/0204_svens_collection.txt#281,gnn[speed+dl],True,2636,6.45498304744101,13
sokoban_core/levels/letslogic/solved/0041_loma.txt#16,gnn[speed+dl],True,20,0.0425123964775026,11
sokoban_core/levels/letslogic/solved/0600_mass_remodel.txt#1288,gnn[speed+dl],True,133,0.156179339962918,15
sokoban_core/levels/letslogic/solved/0204_svens_collection.txt#1528,gnn[speed+dl],True,534,0.659795113682651,13
sokoban_core/levels/letslogic/solved/0600_mass_remodel.txt#1455,gnn[speed+dl],True,488,0.534581853778444,16
sokoban_core/levels/letslogic/solved/0102_serg_belyaev_01.txt#75,gnn[speed+dl],True,8545,10.3451547362151,28
sokoban_core/levels/letslogic/solved/0174_revenge_05.txt#18,gnn[speed+dl],True,1374,1.21190904349706,26
sokoban_core/levels/letslogic/solved/0627_suitcase_04.txt#294,gnn[speed+dl],True,530,0.955900677177206,8
sokoban_core/levels/letslogic/solved/0222_revenge_23.txt#32,gnn[speed+dl],True,70806,49.1309637413847,27
sokoban_core/levels/letslogic/solved/0033_strategy.txt#37,gnn[speed+dl],True,14547,19.6479560147245,29
sokoban_core/levels/letslogic/solved/0068_sokolate.txt#13,gnn[speed+dl],True,1573,1.24134206732186,23
