level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic/solved/0035_simple_collection.txt#18,gnn[speed+dl],True,9138,28.2703595161438,31
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#68,gnn[speed+dl],False,107340,300.0043752193451,-1
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#98,gnn[speed+dl],False,195638,300.0001208782196,-1
sokoban_core/levels/letslogic/solved/0016_sasquatch_04.txt#37,gnn[speed+dl],False,118898,300.0068778991699,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#73,gnn[speed+dl],False,225373,300.00193786621094,-1
sokoban_core/levels/letslogic/solved/0060_howard_s_levels_01.txt#74,gnn[speed+dl],False,32851,300.00833463668823,-1
sokoban_core/levels/letslogic/solved/0014_sasquatch_02.txt#27,gnn[speed+dl],False,41191,300.0007266998291,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#66,gnn[speed+dl],False,265228,300.0014581680298,-1
sokoban_core/levels/letslogic/solved/0042_sokoban2k.txt#46,gnn[speed+dl],False,124534,300.00204586982727,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#42,gnn[speed+dl],False,251659,300.00242352485657,-1
sokoban_core/levels/letslogic/solved/0044_sokhard.txt#120,gnn[speed+dl],False,110017,300.00594115257263,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#15,gnn[speed+dl],False,122387,300.00222849845886,-1
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#125,gnn[speed+dl],False,120962,300.0002374649048,-1
sokoban_core/levels/letslogic/solved/0042_sokoban2k.txt#42,gnn[speed+dl],False,111603,300.0074815750122,-1
sokoban_core/levels/letslogic/solved/0057_the_bagatelle_collection_1.txt#1,gnn[speed+dl],False,310043,300.00003123283386,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#99,gnn[speed+dl],False,66332,300.00109362602234,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#8,gnn[speed+dl],False,58665,300.0124583244324,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#63,gnn[speed+dl],False,284699,300.0041651725769,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#50,gnn[speed+dl],False,122441,300.0078032016754,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#83,gnn[speed+dl],False,29832,300.0084767341614,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#39,gnn[speed+dl],False,44587,300.0092101097107,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#2,gnn[speed+dl],False,215124,300.0033001899719,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#35,gnn[speed+dl],False,82499,300.00184392929077,-1
sokoban_core/levels/letslogic/solved/0013_sasquatch_01.txt#26,gnn[speed+dl],False,55353,300.0153548717499,-1
sokoban_core/levels/letslogic/solved/0028_serena_01.txt#74,gnn[speed+dl],False,35547,300.01324367523193,-1
sokoban_core/levels/letslogic/solved/0033_strategy.txt#39,gnn[speed+dl],False,11917,300.00798177719116,-1
sokoban_core/levels/letslogic/solved/0028_serena_01.txt#60,gnn[speed+dl],False,17884,300.03684282302856,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#90,gnn[speed+dl],False,149079,300.0107944011688,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#58,gnn[speed+dl],False,43566,300.00722432136536,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#34,gnn[speed+dl],False,33078,300.0041437149048,-1
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#117,gnn[speed+dl],False,225288,300.0023422241211,-1
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#121,gnn[speed+dl],False,238321,300.0002725124359,-1
sokoban_core/levels/letslogic/solved/0122_atlas_03.txt#69,gnn[speed+dl],True,215,0.32486915588378906,98
sokoban_core/levels/letslogic/solved/0061_bugs_collection.txt#77,gnn[speed+dl],False,172636,300.0009045600891,-1
sokoban_core/levels/letslogic/solved/0074_kobus_theron_collection.txt#34,gnn[speed+dl],False,8216,300.0006892681122,-1
sokoban_core/levels/letslogic/solved/0074_kobus_theron_collection.txt#64,gnn[speed+dl],False,12047,300.0005030632019,-1
sokoban_core/levels/letslogic/solved/0066_master_head.txt#19,gnn[speed+dl],False,19451,300.0211446285248,-1
